input_gibberish,target_correct,shift_type
"ima,iaomf;u",unamusingly,L_LEFT__R_RIGHT
tl.e3n,golden,L_UP__R_DOWN
sw;,del,L_LEFT__R_RIGHT
.q534lel4wq.,laterodorsal,L_UP__R_DOWN
n.jrnk..,bluebill,L_RIGHT__R_DOWN
origressuvebess,progressiveness,L_STAY__R_LEFT
;wr,pet,L_LEFT__R_DOWN
lxgdl;dfklxgkgkx,osteoperiostitis,L_DOWN__R_DOWN
[izz;ed,puzzled,L_STAY__R_RIGHT
5q45q4,tartar,L_UP__R_STAY
dx08zg9f6,expiatory,L_DOWN__R_UP
phoyofrtmsyidm,photodermatism,L_RIGHT__R_STAY
nh;lxlnj.ks,hypoconulid,L_LEFT__R_DOWN
sybnarsgak,submarshal,L_STAY__R_LEFT
gtbudbuxg,hygienist,L_DOWN__R_LEFT
dikr,sike,L_RIGHT__R_STAY
d7ct8b8o8t6,ductibility,L_STAY__R_UP
djnvlndvkljdnrdd,subconsciousness,L_RIGHT__R_DOWN
vfoczgovd,fricative,L_DOWN__R_RIGHT
1iq;oro34,qualifier,L_UP__R_RIGHT
m3aalt4q;n,mezzograph,L_UP__R_DOWN
jw;;ampsox,hellanodic,L_LEFT__R_RIGHT
buytinrytuv,nitrometric,L_RIGHT__R_LEFT
g3ku3fqguku5t,believability,L_UP__R_LEFT
"[drifpd[rt,ov",pseudospermic,L_RIGHT__R_RIGHT
goy,fit,L_RIGHT__R_RIGHT
cdh68hbo6,denyingly,L_DOWN__R_UP
ybcdfxgubd,undershine,L_DOWN__R_LEFT
o7h7nt897do6,lugubriously,L_RIGHT__R_UP
"4jn3.k,3",runelike,L_UP__R_DOWN
bar9sj8h,barosmin,L_STAY__R_UP
f37toq843,veuglaire,L_UP__R_UP
w[o;o5od,spilitic,L_UP__R_RIGHT
scjp;a[totide,scholaptitude,L_STAY__R_RIGHT
mi5kpgg34,nutjobber,L_UP__R_RIGHT
oz0c9ci,lapcock,L_DOWN__R_UP
aapisoapweminw,aspidospermine,L_LEFT__R_STAY
f9yyor,dottle,L_RIGHT__R_UP
ryaoaaa9rywea06,thalassotherapy,L_LEFT__R_UP
dunfi,fungi,L_LEFT__R_STAY
g6f9o8gd,tyrolite,L_DOWN__R_UP
senuybdressed,semiundressed,L_STAY__R_LEFT
ds;yomr,saltine,L_RIGHT__R_RIGHT
ogtauifeaoguxak,physiographical,L_LEFT__R_LEFT
mlttnjs,morrhua,L_RIGHT__R_DOWN
5q45q43qn,tartarean,L_UP__R_DOWN
swaxeuwe,descrier,L_LEFT__R_LEFT
wq.j5q5l4h,salutatory,L_UP__R_DOWN
seaman.h,seamanly,L_STAY__R_DOWN
naekwe,marler,L_LEFT__R_LEFT
"p,moi,",omnium,L_STAY__R_RIGHT
oiktogibd,polyphone,L_DOWN__R_LEFT
cpmscopmab;u,conscionably,L_STAY__R_RIGHT
c6xgzgf90y8z,cystatrophia,L_DOWN__R_UP
09dy8hgo7rhxso,postinfluenzal,L_RIGHT__R_UP
arewamnwas,streamhead,L_LEFT__R_DOWN
eougtdrubuc,epihydrinic,L_STAY__R_LEFT
awar8ah,sestian,L_LEFT__R_UP
vo9f8cdzd,florideae,L_DOWN__R_UP
t8gr8d8a,tigridia,L_STAY__R_UP
o3iok3ua3,peopleize,L_UP__R_LEFT
eq5uf3,dative,L_UP__R_LEFT
ubternuttebce,intermittence,L_STAY__R_LEFT
d08ory9or,spilehole,L_RIGHT__R_UP
08v9gdf,pivoter,L_DOWN__R_UP
tr.kdnsn.r,relishable,L_RIGHT__R_DOWN
nibiogtduyudn,monophysitism,L_RIGHT__R_LEFT
".am;v.ax,",lampblack,L_LEFT__R_DOWN
i[gfzom,uptrain,L_DOWN__R_RIGHT
cwevarim,verbatim,L_LEFT__R_STAY
[ju;qd534o3e,phylacteried,L_UP__R_RIGHT
axoaea,sciara,L_LEFT__R_RIGHT
cpmtrpversoa;ost,controversialist,L_STAY__R_RIGHT
bdczfjdb,bedarken,L_DOWN__R_LEFT
yt7hinsvi,trunkback,L_RIGHT__R_UP
xdhx9f8bozhc7ozf,sensoriglandular,L_DOWN__R_UP
chzmpdfgof,champertor,L_DOWN__R_STAY
g.lle.3ww.h,bloodlessly,L_UP__R_DOWN
gfzhx8dhgo6,transiently,L_DOWN__R_UP
owaophafua,oesophagus,L_LEFT__R_STAY
r4io534u,fruitery,L_UP__R_RIGHT
cgfinzgiogifiyx,chromatophorous,L_DOWN__R_LEFT
drcyyks,sextula,L_RIGHT__R_LEFT
ml..vwef,mollberg,L_LEFT__R_DOWN
eaz9e,razor,L_LEFT__R_UP
vynuvsk,cubical,L_RIGHT__R_LEFT
recrlss,recross,L_STAY__R_DOWN
0ewswfwhwearw,predegenerate,L_LEFT__R_UP
jnfthsn.r,undryable,L_RIGHT__R_DOWN
obrthumsnixr,overhumanize,L_RIGHT__R_STAY
ima[p;pgetoc,unapologetic,L_STAY__R_RIGHT
",3tqwd;34i,",megasclerum,L_UP__R_RIGHT
gekiderna,heloderma,L_STAY__R_LEFT
vntlmlynrts;kdy,chromotherapist,L_RIGHT__R_DOWN
vuvkuirgweaouar,bibliotherapist,L_LEFT__R_LEFT
naexorixal,narcotical,L_LEFT__R_STAY
eqdo53,dacite,L_UP__R_RIGHT
vlr.kldvl;h,coelioscopy,L_RIGHT__R_DOWN
vucgun,victim,L_DOWN__R_LEFT
fpvopos,gobioid,L_LEFT__R_RIGHT
sacrk.egkljsness,sacrilegiousness,L_STAY__R_DOWN
rnfosudvulysyion,endoauscultation,L_RIGHT__R_STAY
ml.lwwkeq3,molossidae,L_UP__R_DOWN
cpattao;,coattail,L_STAY__R_RIGHT
wn3dk,sneck,L_UP__R_STAY
dprrfily,speedily,L_RIGHT__R_STAY
orkuddr,pelisse,L_RIGHT__R_LEFT
hsdyrt9yt8vysh,gasterotrichan,L_RIGHT__R_UP
mdfogoczd,neritidae,L_DOWN__R_RIGHT
8j0f90f8zgd,impropriate,L_DOWN__R_UP
qldyonqd3q,alcyonacea,L_UP__R_STAY
fuwd34i5ibud,viscerotonic,L_UP__R_LEFT
keamme,jeanne,L_STAY__R_RIGHT
[jqm5qw5,phantast,L_UP__R_RIGHT
lo4qn5hqd3q3,loranthaceae,L_UP__R_STAY
favo,gabi,L_LEFT__R_RIGHT
phonomdgfic,phonometric,L_DOWN__R_STAY
unamvifuouanwaa,unambiguousness,L_LEFT__R_STAY
09hy8g8vso8y6,pontificality,L_RIGHT__R_UP
cfzb,crag,L_DOWN__R_STAY
vlrtkidh,clerkish,L_RIGHT__R_STAY
oteirwxgbux,pyrotechnic,L_LEFT__R_LEFT
g9o3e,boled,L_UP__R_UP
gfh;znlxlmzgljx,trypanosomatous,L_DOWN__R_DOWN
niw1yu5i,mosquito,L_UP__R_LEFT
08r90oasja,piroplasma,L_STAY__R_UP
xounroe,countor,L_LEFT__R_STAY
srtl.kykvd,aerolitics,L_RIGHT__R_DOWN
[fimd,pfund,L_STAY__R_RIGHT
inbuaxuwbxw,omniscience,L_LEFT__R_LEFT
ubrq43,infare,L_UP__R_LEFT
nibioikua34,monopolizer,L_UP__R_LEFT
kslglna.,isogonal,L_STAY__R_DOWN
nlnh.dnkc,nonylenic,L_DOWN__R_DOWN
convlicgofy,conflictory,L_DOWN__R_STAY
x0d9x,speos,L_DOWN__R_UP
rl;er,roper,L_STAY__R_DOWN
[recava;,precaval,L_STAY__R_RIGHT
ysvy7tr,hachure,L_RIGHT__R_UP
uscaruit,iscariot,L_STAY__R_LEFT
"a,omp;usos",aminolysis,L_STAY__R_RIGHT
07rr6q9ei,puttywork,L_LEFT__R_UP
e;aodomoc,elaidinic,L_STAY__R_RIGHT
gfubzxuc,tribasic,L_DOWN__R_LEFT
znzmdgzcflmljx,anametadromous,L_DOWN__R_DOWN
mulgipolzf,multipolar,L_DOWN__R_STAY
cirve,curve,L_STAY__R_RIGHT
g3j7ee6,bemuddy,L_UP__R_UP
0ass7oate,passulate,L_STAY__R_UP
c8czc8c,cicadid,L_DOWN__R_UP
s.knsnhnsnh,alibangbang,L_RIGHT__R_DOWN
coppdfizd,copperize,L_DOWN__R_STAY
imvwqao;ws,unbewailed,L_LEFT__R_RIGHT
3h59049d5q,entoprocta,L_UP__R_UP
w704q9058jqo,supraoptimal,L_UP__R_UP
ytrnikuyuv,tremolitic,L_RIGHT__R_LEFT
qwpqwiq,aspasia,L_UP__R_STAY
ewsucuciya,redivivous,L_LEFT__R_LEFT
cdbiml,debunk,L_DOWN__R_RIGHT
54qbwrywuf3,transfusive,L_UP__R_LEFT
gqd534uiogqtud,bacteriophagic,L_UP__R_LEFT
bklchnzmkcz.,biodynamical,L_DOWN__R_DOWN
zf[dbbozgopm,arpeggiation,L_DOWN__R_RIGHT
wzxewmwnririal,excrementitial,L_LEFT__R_STAY
amwnsa,amends,L_LEFT__R_DOWN
.zncmk.,landmil,L_DOWN__R_DOWN
4lw3rkwn,rosefish,L_UP__R_DOWN
kdn5nhlwqj4kqn,ichthyosaurian,L_UP__R_DOWN
ofonrnifsr,odobenidae,L_RIGHT__R_STAY
dmjdzfg,enheart,L_DOWN__R_RIGHT
xayruib,caution,L_LEFT__R_LEFT
;dc,ped,L_DOWN__R_DOWN
fudixibuxr,disozonize,L_RIGHT__R_LEFT
xdgndxx,setness,L_DOWN__R_STAY
54uqkq53,trialate,L_UP__R_LEFT
zngk;zfg,antipart,L_DOWN__R_DOWN
sjee[sjead,sheepshead,L_STAY__R_RIGHT
zbbuinzgiyx,angiomatous,L_DOWN__R_LEFT
ranra.arw,tantalate,L_LEFT__R_DOWN
;k.ldknr,pilosine,L_RIGHT__R_DOWN
tekenbu,telembi,L_STAY__R_LEFT
korrwea,jitters,L_LEFT__R_RIGHT
gqwy4qk3,basurale,L_UP__R_LEFT
0945y37w,portheus,L_UP__R_UP
jag8cao8ze,magicalize,L_STAY__R_UP
snivulst,anicular,L_RIGHT__R_STAY
nud4iogibit4qog,microphonograph,L_UP__R_LEFT
sppodioprdyiv,apposiopestic,L_RIGHT__R_STAY
in1uq45q5ion,inquartation,L_UP__R_STAY
a090ytyegj,apophthegm,L_STAY__R_UP
donj3d5,conject,L_UP__R_STAY
h9hyscsnor,nontaxable,L_RIGHT__R_UP
g3nq5iatniwuw,hematozymosis,L_UP__R_LEFT
rvvrbytuvsk,eccentrical,L_RIGHT__R_LEFT
ntidiyud,myosotis,L_RIGHT__R_LEFT
qeju5qt3,adjutage,L_UP__R_STAY
retreata;,retreatal,L_STAY__R_RIGHT
;trfsykbr,predative,L_RIGHT__R_DOWN
c9j0s9ghaty7s,compsognathus,L_STAY__R_UP
yokur534,uplifter,L_UP__R_LEFT
yb5344i4ua3e,unterrorized,L_UP__R_LEFT
[trvpmvrobsn;r,preconceivable,L_RIGHT__R_RIGHT
jnknrweelfarws,uninterrogated,L_LEFT__R_DOWN
;jr;.ewlrt,purplewort,L_STAY__R_DOWN
mwrhuawlah,methuselah,L_LEFT__R_STAY
zab,zan,L_LEFT__R_LEFT
dhtirk,shriek,L_RIGHT__R_STAY
brhso8y6,venality,L_RIGHT__R_UP
laniidoem,laniiform,L_LEFT__R_STAY
;flcnlfkln,prochorion,L_DOWN__R_DOWN
kqu4,lair,L_UP__R_LEFT
nstg;u,barfly,L_RIGHT__R_RIGHT
a0o8hrwes,splinterd,L_LEFT__R_UP
oeanfwiam,orangeism,L_LEFT__R_STAY
r97erw,tourte,L_LEFT__R_UP
dq.q5nkqn,calathian,L_UP__R_DOWN
wksweauarwekt,eldersisterly,L_LEFT__R_LEFT
"imjst,pmopidmrdd",unharmoniousness,L_RIGHT__R_RIGHT
nln.jmknescent,nonluminescent,L_STAY__R_DOWN
mspdsitid,naosaurus,L_RIGHT__R_RIGHT
"seadr,am",draftman,L_LEFT__R_RIGHT
dajk;zbz,equipaga,L_DOWN__R_DOWN
ywo89arar8x,heliostatic,L_LEFT__R_UP
ve9qh8aj,brownism,L_LEFT__R_UP
[tpyodyov,protistic,L_RIGHT__R_RIGHT
omepdogo;o5u,indocibility,L_UP__R_RIGHT
fudubyrtrdyrf,disinterested,L_RIGHT__R_LEFT
wnsomwreiria,endometritis,L_LEFT__R_STAY
w.ljtnh,sloughy,L_UP__R_DOWN
cfdd,dree,L_DOWN__R_DOWN
j8wdy89,mischio,L_UP__R_UP
imomgs;;on;r,uninfallible,L_RIGHT__R_RIGHT
fivyituxsyuib,doctorization,L_RIGHT__R_LEFT
dfbicuc,ergodic,L_DOWN__R_LEFT
3n;.qn3,enplane,L_UP__R_DOWN
ubshhtrddubr,inaggressive,L_RIGHT__R_LEFT
swcao9e8zw,devalorize,L_LEFT__R_UP
97tservaht,outservant,L_STAY__R_UP
gstydyibhyr,hartstongue,L_RIGHT__R_LEFT
aivaxa[i;ae,subscapular,L_LEFT__R_RIGHT
5q8o2q4e,tailward,L_UP__R_UP
bz697,bayou,L_DOWN__R_UP
sj;ersl.kckt,supersolicit,L_STAY__R_DOWN
nq2w3mqn,hawseman,L_UP__R_DOWN
unop34q5id,unoperatic,L_UP__R_STAY
dpiphzfynx,epipharynx,L_DOWN__R_STAY
"dse.k,r",sawlike,L_RIGHT__R_DOWN
"gppki,",boojum,L_UP__R_RIGHT
ciffububkd,corrigible,L_DOWN__R_LEFT
yltyj.svrsr,tortulaceae,L_RIGHT__R_DOWN
8oozb9fzgd,illaborate,L_DOWN__R_UP
cuxbyxg,disgust,L_DOWN__R_LEFT
dro;;,drill,L_STAY__R_RIGHT
hq;n3ww,yapness,L_UP__R_DOWN
gkaycub,glaucin,L_STAY__R_LEFT
ybnq44uqt3qguku5t,unmarriageability,L_UP__R_LEFT
7h07hct7aoo6,unpunctually,L_STAY__R_UP
paaaavlw,passable,L_LEFT__R_STAY
omg4omt,inbring,L_UP__R_RIGHT
zdf8zohdxx,aerialness,L_DOWN__R_UP
skaxekmknarknf.h,discriminatingly,L_LEFT__R_DOWN
clngkxd,contise,L_DOWN__R_DOWN
jnsnamefj.ness,unshamefulness,L_STAY__R_DOWN
veaxhiaroxheonoua,brachistochronous,L_LEFT__R_STAY
ghdopnduxg,theopneust,L_DOWN__R_STAY
msvtolrpifopyrts,macrolepidoptera,L_RIGHT__R_STAY
ni4q5i4uyn,moratorium,L_UP__R_LEFT
gigd,tote,L_DOWN__R_LEFT
dgqkk3bt3qgk3,challengeable,L_UP__R_LEFT
jshbidyiv,jahvistic,L_RIGHT__R_STAY
odxgukdbguzk,pestilential,L_DOWN__R_LEFT
qywveaxgubw,quebrachine,L_LEFT__R_LEFT
cfypgofchic,cryptorchid,L_DOWN__R_STAY
vo[jrtsn;r,cipherable,L_RIGHT__R_RIGHT
x9ha8swearwo6,considerately,L_LEFT__R_UP
aweophilix,aerophilic,L_LEFT__R_STAY
xdsdc,sewed,L_DOWN__R_UP
sbgtftufuxsyuib,anhydridization,L_RIGHT__R_LEFT
x[pggo;u,spottily,L_DOWN__R_RIGHT
aeaxhnolofy,arachnology,L_LEFT__R_STAY
;rsyjrtmrvl,leatherneck,L_RIGHT__R_RIGHT
paenaaaianiam,parnassianism,L_LEFT__R_STAY
baogrgakwbw,naphthalene,L_LEFT__R_LEFT
peoaxeipricwnwaa,proscriptiveness,L_LEFT__R_STAY
xlayqaew,clayware,L_LEFT__R_STAY
ewaddwxropm,reaffection,L_LEFT__R_RIGHT
x6hzxc8c8zd,synascidiae,L_DOWN__R_UP
a.denhdase,aldehydase,L_STAY__R_DOWN
lreltragjs,oreotragus,L_STAY__R_DOWN
aiofomz;oz,quirinalia,L_DOWN__R_RIGHT
oiexwkaburw,porcelanite,L_LEFT__R_LEFT
ytiidyuyuv,troostitic,L_RIGHT__R_LEFT
unhdzlghxomd,unhealthsome,L_DOWN__R_STAY
rbvgsthr,encharge,L_RIGHT__R_LEFT
dnl4q.d3.l,choralcelo,L_UP__R_DOWN
s8xy90r8x,dichoptic,L_LEFT__R_UP
ruswqat,tideway,L_LEFT__R_LEFT
j8ew5946,midstory,L_UP__R_UP
resustuvebess,resistiveness,L_STAY__R_LEFT
0438j043ww8f3,preimpressive,L_UP__R_UP
qkrnwewsnwaa,witheredness,L_LEFT__R_DOWN
km;lse,impose,L_STAY__R_DOWN
aj0y9fwh97a,amphogenous,L_LEFT__R_UP
trs7yyrhy8vsyr,reauthenticate,L_RIGHT__R_UP
veabs,brand,L_LEFT__R_LEFT
9brth8hyy,overnight,L_RIGHT__R_UP
frdnifsvytku,desmodactyli,L_RIGHT__R_LEFT
v9cao8st,vocalist,L_STAY__R_UP
rorvyt9rth9jryrt,electroergometer,L_RIGHT__R_UP
g3wpy,bespy,L_UP__R_STAY
b8jdxgf8zo,bimestrial,L_DOWN__R_UP
xosweicw,coderive,L_LEFT__R_STAY
ggdfnixuogib,thermosiphon,L_DOWN__R_LEFT
slnnetkc,sonnetic,L_STAY__R_DOWN
vdgcyo8hb,vetchling,L_DOWN__R_UP
"2l4,lj5",workout,L_UP__R_DOWN
jsvkrylrdd,jacketless,L_RIGHT__R_STAY
;rltjberant.h,protuberantly,L_STAY__R_DOWN
xgicjfucdf,stockrider,L_DOWN__R_LEFT
ndgdflcd..j.zf,heterocellular,L_DOWN__R_DOWN
fdgfdzg8hb,retreating,L_DOWN__R_UP
.kntjq5j.lke,linguatuloid,L_UP__R_DOWN
fk;xnlfgdf,ripsnorter,L_DOWN__R_DOWN
c9oxah8ah,volcanian,L_LEFT__R_UP
ycuribux,uvitonic,L_LEFT__R_LEFT
dxpoxd,expose,L_DOWN__R_STAY
deizwe,frizer,L_LEFT__R_STAY
exterj8hatress,exterminatress,L_STAY__R_UP
cubdfznz,cinerama,L_DOWN__R_LEFT
dluw534riw5,clusterfist,L_UP__R_STAY
q09t4q0yqo,apographal,L_UP__R_UP
to9ww90yq46ht37w,glossopharyngeus,L_UP__R_UP
wzrealirw,extralite,L_LEFT__R_STAY
jndks;rlvkng,undisproving,L_STAY__R_DOWN
vaakdkwe,basifier,L_LEFT__R_DOWN
bzggdmomb,battening,L_DOWN__R_RIGHT
mwronymixally,metonymically,L_LEFT__R_STAY
vykcfynzbd,fulcrumage,L_DOWN__R_LEFT
iq5q5y34j9j3534,katathermometer,L_UP__R_UP
;.rjtl.kyn,pleurolith,L_RIGHT__R_DOWN
fzcopgjdfz[digoxg,radiotherapeutist,L_DOWN__R_RIGHT
a78ogdc,quilted,L_DOWN__R_UP
vdfgdbfd,vertebre,L_DOWN__R_RIGHT
tiycged,touched,L_STAY__R_LEFT
kzzoo,kazoo,L_DOWN__R_STAY
o4pmjq4e,ironhard,L_UP__R_RIGHT
py4oq4w3nid,pyroarsenic,L_UP__R_STAY
tz9oi8h,tzolkin,L_STAY__R_UP
"vrmysitfp,",centaurdom,L_RIGHT__R_RIGHT
43inodulq53,reinoculate,L_UP__R_STAY
w3kfqt33,selvagee,L_UP__R_LEFT
gyzc,thad,L_DOWN__R_UP
xwexksk;nh..axwaw,cercidiphyllaceae,L_LEFT__R_DOWN
h9h8hgdhg89h,nonintention,L_DOWN__R_UP
vsoysubtt,captainry,L_RIGHT__R_LEFT
h9hjah8oa,nonmanila,L_STAY__R_UP
i9hsw,konde,L_LEFT__R_UP
nhcflcd;nz.kc,hydrocephalic,L_DOWN__R_DOWN
dytsy90rfstvy,stratopedarch,L_RIGHT__R_UP
wppdu,woody,L_STAY__R_RIGHT
sao8c6oaodey6de,salicylaldehyde,L_STAY__R_UP
oaj8har8h,laminarin,L_STAY__R_UP
tebenebter,tenementer,L_STAY__R_LEFT
aykdixaevunusw,sulfocarbimide,L_LEFT__R_LEFT
xgiyabuzw,chouanize,L_LEFT__R_LEFT
unqnw234qgly,unanswerably,L_UP__R_STAY
ybdasubf,unfading,L_LEFT__R_LEFT
pffemsob;e,offensible,L_STAY__R_RIGHT
g7fhcz0,turncap,L_DOWN__R_UP
cktdesuder,clydesider,L_STAY__R_LEFT
duaauswbraxwaw,fissidentaceae,L_LEFT__R_LEFT
ybudrtusyr,uniseriate,L_RIGHT__R_LEFT
ststukuys,systilius,L_STAY__R_LEFT
ybcdfnifzk,undermoral,L_DOWN__R_LEFT
unaaxwnsws,unascended,L_LEFT__R_STAY
nppmfphh;r,boondoggle,L_RIGHT__R_RIGHT
psihlr,paigle,L_RIGHT__R_STAY
xaeo9as8hf,carloading,L_LEFT__R_UP
gz;kxg,tapist,L_DOWN__R_DOWN
8h84485qh5,inirritant,L_UP__R_UP
agatna,agatha,L_STAY__R_DOWN
avpicjer,avoucher,L_STAY__R_RIGHT
nubagassa,minahassa,L_STAY__R_LEFT
"cdcd,cdmgzgd",decemdentate,L_DOWN__R_RIGHT
zgf89vdhgf8c7ozf,atrioventricular,L_DOWN__R_UP
cizcld,diacle,L_DOWN__R_STAY
7hev9oved,unevolved,L_STAY__R_UP
jpiw32orowj,housewifish,L_UP__R_RIGHT
imlomcfdc,unkindred,L_DOWN__R_RIGHT
pmopmalom,onionskin,L_LEFT__R_RIGHT
ozgfuigddf,patrioteer,L_DOWN__R_LEFT
xtciogzbguczk,sycophantical,L_DOWN__R_LEFT
0afwahr8x,pageantic,L_LEFT__R_UP
049o8r8dqd6,prolificacy,L_UP__R_UP
0y6oo9f8hr97d,phyllodineous,L_RIGHT__R_UP
shrbyubsk,agentival,L_RIGHT__R_LEFT
8j0we87j,imperium,L_LEFT__R_UP
vksydukuufsr,clausiliidae,L_RIGHT__R_LEFT
dinqbdg3qb,comanchean,L_UP__R_LEFT
pzfconzbld,pardonable,L_DOWN__R_STAY
xaqj,cawk,L_LEFT__R_LEFT
sj.car,sulcar,L_STAY__R_DOWN
yt9vyr,troche,L_RIGHT__R_UP
r.qnn3.mlj5n3e,flannelmouthed,L_UP__R_DOWN
jd;opcpm,heliodon,L_DOWN__R_RIGHT
dyttrniybf,surrebound,L_RIGHT__R_LEFT
vsthl;nh..rljd,caryophylleous,L_RIGHT__R_DOWN
kyvykrbykt,luculently,L_RIGHT__R_LEFT
vwawrrknf,besetting,L_LEFT__R_DOWN
otricgenucakkt,pyrochemically,L_STAY__R_LEFT
cakir,calor,L_STAY__R_LEFT
vysid8,chaksi,L_RIGHT__R_UP
;l.lkst,poloist,L_STAY__R_DOWN
",dxp[jugd",mesophyte,L_DOWN__R_RIGHT
omxpeei[r;u,incorruptly,L_LEFT__R_RIGHT
s.yrtsykbr,alterative,L_RIGHT__R_DOWN
[p;;omoca;,pollinical,L_STAY__R_RIGHT
z;l;nzxkx,apophasis,L_DOWN__R_DOWN
akwwot,sleepy,L_LEFT__R_LEFT
fakr.kng,fairling,L_STAY__R_DOWN
xlmwskxa.,comedical,L_LEFT__R_DOWN
letpjexpse,ketohexose,L_STAY__R_RIGHT
trnsmlti[y,rebankrupt,L_RIGHT__R_RIGHT
eiwd43pqndy,discrepancy,L_UP__R_STAY
ouaruk,pistil,L_LEFT__R_LEFT
meta;nhskckst,metaphysicist,L_STAY__R_DOWN
",espcpracpod",mesocoracoid,L_STAY__R_RIGHT
vpmgrtbpof,confervoid,L_RIGHT__R_RIGHT
e3wnib,desmon,L_UP__R_LEFT
zcu7fzg89h,adjuration,L_DOWN__R_UP
2q534l3qf3,waterleave,L_UP__R_STAY
7h0rec9c897s,unprecocious,L_STAY__R_UP
0aw7s9xaer8oaf8h97a,pseudocartilaginous,L_LEFT__R_UP
kiffoma,juggins,L_LEFT__R_RIGHT
bos[ompse,bispinose,L_STAY__R_RIGHT
aretxgbik,strychnol,L_LEFT__R_LEFT
fdbdlcom,rebeldom,L_DOWN__R_STAY
gitnst,forbar,L_RIGHT__R_LEFT
ta;er.h,taperly,L_STAY__R_DOWN
"imcp,[pimcdc",uncompounded,L_DOWN__R_RIGHT
rysnskku,etaballi,L_RIGHT__R_LEFT
wpqnint,spaning,L_UP__R_STAY
votvi;sn;r,circulable,L_RIGHT__R_RIGHT
;otmom,lignin,L_UP__R_RIGHT
bfzmbdfozzgopm,grangerization,L_DOWN__R_RIGHT
2q4rq43,warfare,L_UP__R_STAY
imbar,unbar,L_STAY__R_RIGHT
bdbzzkzbukubd,benzalaniline,L_DOWN__R_LEFT
czkczbdibzvucykzf,calcaneonavicular,L_DOWN__R_LEFT
t7jnorjrhy,rumblement,L_RIGHT__R_UP
faareaof8x,gastralgic,L_LEFT__R_UP
kxlmlf;n,isomorph,L_DOWN__R_DOWN
buikigucigynabustuc,biologicohumanistic,L_STAY__R_LEFT
skcweakdkxarkln,diversification,L_LEFT__R_DOWN
wjg43;qne,subrepand,L_UP__R_DOWN
[q4mqwwoqd3q3,parnassiaceae,L_UP__R_RIGHT
xdajdngkz..h,sequentially,L_DOWN__R_DOWN
ivzgdfdfi,ovaherero,L_DOWN__R_LEFT
j9hzxz,monasa,L_DOWN__R_UP
q7ar79e,quatuor,L_LEFT__R_UP
jndanxkav.w,unfanciable,L_LEFT__R_DOWN
0y9t9catao6st,photocatalyst,L_STAY__R_UP
w9f3438th3ww,sovereigness,L_UP__R_UP
9fbzh9gydfz06,organotherapy,L_DOWN__R_UP
xczfmzn,scarman,L_DOWN__R_DOWN
jnqrrqg.h,unaffably,L_UP__R_DOWN
e3rqnq5i4t,defamatory,L_UP__R_LEFT
v.jvvwelja,blubberous,L_LEFT__R_DOWN
dyn,sum,L_RIGHT__R_LEFT
ankw.s.waa.h,shieldlessly,L_LEFT__R_DOWN
yeiaxgwaua,uroschesis,L_LEFT__R_LEFT
iverstiyt,overstout,L_STAY__R_LEFT
;p;;stf,lollard,L_RIGHT__R_RIGHT
trdknljd,resinous,L_RIGHT__R_DOWN
h;pnohrtomofsr,globigerinidae,L_RIGHT__R_RIGHT
oubkrdd,pinless,L_RIGHT__R_LEFT
b;d[jzfpmcpxox,blepharoncosis,L_DOWN__R_RIGHT
y6jwrr8ah,hymettian,L_LEFT__R_UP
hutylrdd,hurtless,L_RIGHT__R_STAY
dosimofu,disunify,L_STAY__R_RIGHT
;43n3q53e,preheated,L_UP__R_DOWN
un4urrqgl3,unruffable,L_UP__R_STAY
8cygy690y8od,ichthyophile,L_DOWN__R_UP
czlycld,calycle,L_DOWN__R_STAY
j6909r7j,myoporum,L_STAY__R_UP
gos8yydy80,flaithship,L_RIGHT__R_UP
gtftiogukt,hydrophily,L_RIGHT__R_LEFT
xaourwkkyn,capitellum,L_LEFT__R_LEFT
dinkrvy,subject,L_RIGHT__R_RIGHT
j7j,mum,L_UP__R_UP
sdksykvkdm,asiaticism,L_RIGHT__R_DOWN
nonvdnomoux,nonvenomous,L_DOWN__R_STAY
8hh7jrtsnorhrdd,innumerableness,L_RIGHT__R_UP
ubqoo43g3bwuf3,inapprehensive,L_UP__R_LEFT
bugyfic,butyric,L_DOWN__R_STAY
"[tobsyrrtd,sm",privateersman,L_RIGHT__R_RIGHT
glopeinh,flopwing,L_RIGHT__R_STAY
8hyrtd0t8hior,intersprinkle,L_RIGHT__R_UP
k..jmknd,illumine,L_DOWN__R_DOWN
5inw3lmqkint,tinselmaking,L_UP__R_STAY
mondirutdhip,monsieurship,L_RIGHT__R_STAY
omterkect,interject,L_STAY__R_RIGHT
cybibuzcdzd,cunoniaceae,L_DOWN__R_LEFT
kabsanaak,landsmaal,L_LEFT__R_LEFT
xndkkvyk,smellful,L_DOWN__R_LEFT
c9bbdf,dobber,L_DOWN__R_UP
i6j9bfzj,kymogram,L_DOWN__R_UP
eacwubwkujw,raveinelike,L_LEFT__R_LEFT
jndrsmknh,unseaming,L_RIGHT__R_DOWN
fy8hdhcd0yzo97x,rhinencephalous,L_DOWN__R_UP
cizpofghd,diaporthe,L_DOWN__R_STAY
"nl,rh;l,rh",hokeypokey,L_RIGHT__R_DOWN
qd356o49wqh8o8h3,acetylrosaniline,L_UP__R_UP
wzxoa8j,exclaim,L_LEFT__R_UP
battt,natty,L_STAY__R_LEFT
